faixa_idade,genero,raca,regiao,escolaridade,situacao_trabalho,cargo,nivel,salario,tempo_experiencia_dados,tempo_experiencia_ti,satisfacao,salario_num,latitude,longitude
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
22-24,Masculino,Parda,Sudeste,Estudante de Graduação,Estagiário,Analista de Suporte,Júnior,Menos de R$ 1.000/mês,de 1 a 2 anos,Menos de 1 ano,True,500,-20.0,-44.0
22-24,Masculino,Branca,Sudeste,Não tenho graduação formal,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Parda,Sudeste,Pós-graduação,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Cientista de Dados,Pleno,de R$ 20.001/mês a R$ 25.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,22500,-20.0,-44.0
22-24,Masculino,Branca,Sudeste,Estudante de Graduação,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,7000,-20.0,-44.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analytics Engineer,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,10000,-20.0,-44.0
22-24,Masculino,Preta,Sudeste,Estudante de Graduação,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
22-24,Masculino,Preta,Sul,Não tenho graduação formal,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,18000,-27.0,-51.0
22-24,Feminino,Branca,Sul,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,de 3 a 4 anos,True,5000,-27.0,-51.0
22-24,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
22-24,Feminino,Parda,Nordeste,Graduação/Bacharelado,Empregado (CLT),Outro,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,de 1 a 2 anos,True,7000,-8.0,-38.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
22-24,Masculino,Branca,Nordeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,1500,-8.0,-38.0
22-24,Masculino,Parda,Nordeste,Estudante de Graduação,Empregado (CLT),Analista de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,de 1 a 2 anos,False,2500,-8.0,-38.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Branca,Sul,Mestrado,Empreendedor ou Empregado (CNPJ),Engenheiro de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Menos de 1 ano,True,10000,-27.0,-51.0
22-24,Masculino,Branca,Sul,Estudante de Graduação,Empregado (CLT),Cientista de Dados,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Menos de 1 ano,True,7000,-27.0,-51.0
22-24,Masculino,Parda,Centro-oeste,Pós-graduação,Empregado (CLT),Outro,Pleno,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,2500,-15.0,-52.0
22-24,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Analista de Negócios,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,2500,-20.0,-44.0
22-24,Masculino,Amarela,Sul,Pós-graduação,Empregado (CLT),Engenheiro de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,3500,-27.0,-51.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,de 1 a 2 anos,True,5000,-20.0,-44.0
22-24,Masculino,Amarela,Sul,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,3500,-27.0,-51.0
22-24,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Negócios,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
22-24,Masculino,Parda,Centro-oeste,Pós-graduação,Empregado (CLT),Analista de BI,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,de 3 a 4 anos,True,7000,-15.0,-52.0
22-24,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Negócios,Pleno,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,14000,-20.0,-44.0
22-24,Masculino,Branca,Sul,Graduação/Bacharelado,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,de 5 a 6 anos,True,5000,-27.0,-51.0
22-24,Feminino,Branca,Sul,Pós-graduação,Empregado (CLT),Analista de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,3500,-27.0,-51.0
22-24,Masculino,Branca,Sul,Pós-graduação,Empregado (CLT),Desenvolvedor,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,de 1 a 2 anos,True,7000,-27.0,-51.0
22-24,Feminino,Branca,Sul,Pós-graduação,Empregado (CLT),Analista de BI,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,3500,-27.0,-51.0
22-24,Masculino,Parda,Centro-oeste,Pós-graduação,Empregado (CLT),Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,de 1 a 2 anos,True,7000,-15.0,-52.0
22-24,Feminino,Parda,Centro-oeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Pleno,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,2500,-15.0,-52.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,de 1 a 2 anos,True,7000,-20.0,-44.0
22-24,Masculino,Parda,Nordeste,Estudante de Graduação,Estagiário,Estatístico,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,de 1 a 2 anos,True,1500,-8.0,-38.0
22-24,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analytics Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,de 1 a 2 anos,True,5000,-20.0,-44.0
22-24,Feminino,Branca,Sul,Graduação/Bacharelado,Estagiário,Engenheiro de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,de 1 a 2 anos,True,2500,-27.0,-51.0
22-24,Masculino,Amarela,Sudeste,Estudante de Graduação,Empregado (CLT),Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
22-24,Masculino,Branca,Sudeste,Não tenho graduação formal,Empregado (CLT),Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Menos de 1 ano,True,10000,-20.0,-44.0
22-24,Masculino,Branca,Sul,Estudante de Graduação,Empregado (CLT),Analista de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Menos de 1 ano,False,2500,-27.0,-51.0
22-24,Masculino,Parda,Sudeste,Graduação/Bacharelado,Servidor Público,Cientista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,de 1 a 2 anos,False,5000,-20.0,-44.0
22-24,Masculino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,5000,-20.0,-44.0
22-24,Masculino,Branca,Sul,Pós-graduação,Empregado (CLT),Analista de Negócios,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-27.0,-51.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,14000,-20.0,-44.0
22-24,Feminino,Branca,Sudeste,Estudante de Graduação,Estagiário,Cientista de Dados,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,1500,-20.0,-44.0
22-24,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
22-24,Feminino,Parda,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Negócios,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Preta,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
22-24,Masculino,Branca,Nordeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-8.0,-38.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 1 a 2 anos,True,10000,-20.0,-44.0
22-24,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Feminino,Parda,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Branca,Centro-oeste,Estudante de Graduação,Estagiário,Analista de Dados,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,1500,-15.0,-52.0
22-24,Masculino,Branca,Sudeste,Estudante de Graduação,Empregado (CLT),Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Preta,Sudeste,Estudante de Graduação,Servidor Público,Engenheiro de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,de 3 a 4 anos,True,2500,-20.0,-44.0
22-24,Feminino,Branca,Sudeste,Estudante de Graduação,Estagiário,Analista de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,2500,-20.0,-44.0
22-24,Masculino,Branca,Sul,Pós-graduação,Empregado (CLT),Analista de BI,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,10000,-27.0,-51.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
22-24,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Parda,Sudeste,Estudante de Graduação,Estagiário,Engenheiro de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Menos de 1 ano,True,2500,-20.0,-44.0
22-24,Feminino,Branca,Sul,Graduação/Bacharelado,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Menos de 1 ano,True,7000,-27.0,-51.0
22-24,Masculino,Preta,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
22-24,Masculino,Parda,Centro-oeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,de 3 a 4 anos,False,2500,-15.0,-52.0
22-24,Masculino,Branca,Sul,Estudante de Graduação,Estagiário,Analista de Dados,Pleno,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,2500,-27.0,-51.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empreendedor ou Empregado (CNPJ),Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,7000,-20.0,-44.0
22-24,Masculino,Preta,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
22-24,Feminino,Parda,Sudeste,Pós-graduação,Empreendedor ou Empregado (CNPJ),Cientista de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,10000,-20.0,-44.0
22-24,Masculino,Branca,Nordeste,Pós-graduação,Empregado (CLT),Analista de BI,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Menos de 1 ano,True,3500,-8.0,-38.0
22-24,Feminino,Parda,Norte,Graduação/Bacharelado,Empregado (CLT),Engenheiro de Dados,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,de 3 a 4 anos,True,7000,-5.0,-60.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Desenvolvedor,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Não tenho experiência na área de dados,de 5 a 6 anos,True,10000,-20.0,-44.0
22-24,Masculino,Branca,Nordeste,Pós-graduação,Empregado (CLT),Analista de Negócios,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,de 1 a 2 anos,False,5000,-8.0,-38.0
22-24,Masculino,Preta,Sudeste,Pós-graduação,Empregado (CLT),Analytics Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Branca,Sudeste,Estudante de Graduação,Estagiário,Analista de BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Menos de 1 ano,True,1500,-20.0,-44.0
22-24,Feminino,Amarela,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
22-24,Masculino,Parda,Sudeste,Graduação/Bacharelado,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,7000,-20.0,-44.0
22-24,Feminino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Parda,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,3500,-20.0,-44.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,7000,-20.0,-44.0
22-24,Masculino,Parda,Sul,Mestrado,Empreendedor ou Empregado (CNPJ),Analista de Dados,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 5 a 6 anos,de 3 a 4 anos,True,14000,-27.0,-51.0
22-24,Masculino,Branca,Sudeste,Estudante de Graduação,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Menos de 1 ano,False,7000,-20.0,-44.0
22-24,Masculino,Parda,Centro-oeste,Graduação/Bacharelado,Empregado (CLT),Eng. Machine Learning,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-15.0,-52.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analytics Engineer,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,10000,-20.0,-44.0
22-24,Masculino,Branca,Sul,Graduação/Bacharelado,Empregado (CLT),Analytics Engineer,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,de 3 a 4 anos,False,5000,-27.0,-51.0
22-24,Masculino,Branca,Sul,Estudante de Graduação,Empregado (CLT),Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-27.0,-51.0
22-24,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
22-24,Masculino,Branca,Sul,Graduação/Bacharelado,Empregado (CLT),Cientista de Dados,Sênior,de R$ 20.001/mês a R$ 25.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,22500,-27.0,-51.0
22-24,Feminino,Branca,Sudeste,Estudante de Graduação,Estagiário,Analista de BI,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,1500,-20.0,-44.0
22-24,Masculino,Branca,Sudeste,Mestrado,Empreendedor ou Empregado (CNPJ),Cientista de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Menos de 1 ano,False,3500,-20.0,-44.0
22-24,Masculino,Branca,Sul,Mestrado,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-27.0,-51.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,de 3 a 4 anos,True,3500,-20.0,-44.0
22-24,Masculino,Amarela,Sul,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Menos de 1 ano,True,3500,-27.0,-51.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Engenheiro de Dados,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,False,3500,-20.0,-44.0
22-24,Masculino,Parda,Sudeste,Estudante de Graduação,Empregado (CLT),Analista de Negócios,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,10000,-20.0,-44.0
22-24,Feminino,Branca,Sudeste,Pós-graduação,Empregado (CLT),Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Branca,Sul,Estudante de Graduação,Empregado (CLT),Engenheiro de Dados,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,de 1 a 2 anos,False,3500,-27.0,-51.0
22-24,Feminino,Preta,Nordeste,Graduação/Bacharelado,Empregado (CLT),Desenvolvedor,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-8.0,-38.0
22-24,Masculino,Parda,Centro-oeste,Pós-graduação,Empregado (CLT),Analytics Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,de 1 a 2 anos,True,7000,-15.0,-52.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Estagiário,Outro,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,1500,-20.0,-44.0
22-24,Feminino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Masculino,Branca,Nordeste,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-8.0,-38.0
22-24,Masculino,Branca,Sul,Graduação/Bacharelado,Empregado (CLT),Engenheiro de Dados,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,2500,-27.0,-51.0
22-24,Masculino,Branca,Sul,Estudante de Graduação,Empreendedor ou Empregado (CNPJ),Engenheiro de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,de 3 a 4 anos,False,5000,-27.0,-51.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,7000,-20.0,-44.0
22-24,Masculino,Branca,Sudeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-20.0,-44.0
22-24,Feminino,Parda,Sul,Pós-graduação,Empregado (CLT),Analista de Suporte,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-27.0,-51.0
22-24,Feminino,Parda,Sul,Pós-graduação,Empregado (CLT),Analista de Suporte,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 5 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,5000,-27.0,-51.0
22-24,Masculino,Branca,Sul,Graduação/Bacharelado,Empregado (CLT),Analista de BI,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,True,3500,-27.0,-51.0
22-24,Masculino,Branca,Nordeste,Graduação/Bacharelado,Empregado (CLT),Analista de Dados,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,de 1 a 2 anos,True,5000,-8.0,-38.0
